"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1500000US371010409061","Block Group 1, Census Tract 409.06, Johnston County, North Carolina","1116","992","784","102","12","8","0","86","124","110","13","19","5","1","62","1","2","0","3","0","0","3","0","1","0","13","3","1","0","6","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409062","Block Group 2, Census Tract 409.06, Johnston County, North Carolina","1197","1098","782","192","3","9","0","112","99","94","15","24","9","0","44","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410011","Block Group 1, Census Tract 410.01, Johnston County, North Carolina","2447","2126","1175","522","19","27","0","383","321","303","33","11","7","0","231","6","2","1","8","0","0","2","0","2","0","14","3","1","0","0","2","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410012","Block Group 2, Census Tract 410.01, Johnston County, North Carolina","3580","3142","1499","1296","14","62","0","271","438","394","37","26","25","1","243","16","9","4","27","0","0","3","3","0","0","43","12","0","0","5","1","0","13","4","1","0","1","0","6","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410013","Block Group 3, Census Tract 410.01, Johnston County, North Carolina","697","616","320","226","12","6","0","52","81","69","6","17","4","1","32","2","0","1","6","0","0","0","0","0","0","12","10","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410014","Block Group 4, Census Tract 410.01, Johnston County, North Carolina","1753","1583","957","503","10","30","0","83","170","157","33","16","9","0","77","4","1","0","14","0","0","2","1","0","0","11","8","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410015","Block Group 5, Census Tract 410.01, Johnston County, North Carolina","2683","2440","1354","779","30","24","0","253","243","217","55","17","19","1","103","1","0","1","11","0","0","3","2","1","3","19","7","2","0","5","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","7","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410031","Block Group 1, Census Tract 410.03, Johnston County, North Carolina","2033","1771","1134","471","8","67","0","91","262","246","59","34","18","0","120","6","0","0","7","0","0","0","0","2","0","13","5","0","0","3","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410032","Block Group 2, Census Tract 410.03, Johnston County, North Carolina","1694","1577","1153","292","9","11","1","111","117","103","7","20","1","0","72","0","0","0","3","0","0","0","0","0","0","13","0","0","0","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410041","Block Group 1, Census Tract 410.04, Johnston County, North Carolina","799","691","514","109","3","9","0","56","108","95","25","21","4","2","33","6","2","1","0","0","0","0","1","0","0","13","2","0","0","6","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410042","Block Group 2, Census Tract 410.04, Johnston County, North Carolina","1545","1436","785","482","7","16","0","146","109","106","29","6","0","1","53","8","1","3","4","0","0","0","1","0","0","3","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410051","Block Group 1, Census Tract 410.05, Johnston County, North Carolina","1046","959","795","74","3","11","0","76","87","84","12","7","3","0","58","1","2","0","0","0","0","1","0","0","0","3","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410052","Block Group 2, Census Tract 410.05, Johnston County, North Carolina","1116","1047","890","98","0","7","0","52","69","65","6","17","8","0","29","2","0","0","1","0","0","2","0","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010410053","Block Group 3, Census Tract 410.05, Johnston County, North Carolina","1913","1697","1036","488","18","18","0","137","216","189","31","29","20","3","74","9","1","0","6","0","0","0","1","2","13","25","4","0","0","6","3","0","10","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411041","Block Group 1, Census Tract 411.04, Johnston County, North Carolina","871","795","482","178","11","6","0","118","76","70","8","9","7","0","44","0","0","0","2","0","0","0","0","0","0","6","0","3","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411042","Block Group 2, Census Tract 411.04, Johnston County, North Carolina","1479","1344","807","343","12","8","0","174","135","126","20","23","12","0","67","2","0","0","2","0","0","0","0","0","0","9","3","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411043","Block Group 3, Census Tract 411.04, Johnston County, North Carolina","819","718","539","70","12","3","0","94","101","99","14","17","8","2","55","0","0","0","3","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411044","Block Group 4, Census Tract 411.04, Johnston County, North Carolina","1711","1595","1362","117","12","9","0","95","116","106","8","18","8","0","68","2","0","0","2","0","0","0","0","0","0","10","2","5","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411051","Block Group 1, Census Tract 411.05, Johnston County, North Carolina","1287","1180","859","210","7","16","0","88","107","95","26","20","5","1","34","1","0","0","5","1","0","2","0","0","0","12","8","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411052","Block Group 2, Census Tract 411.05, Johnston County, North Carolina","1404","1260","879","264","8","9","0","100","144","143","13","14","6","1","96","1","0","1","11","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
