GEO_ID,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,MORE THAN 1 RACE
7000000US370210049.1,4984,4401,110,29,17,4,149,822
7000000US370210050.1,1699,1584,11,6,7,0,19,216
7000000US370210051.2,2252,2075,18,5,14,0,37,309
7000000US370210052.1,4661,4171,54,19,61,2,109,735
7000000US370210053.1,3568,3251,54,5,14,3,90,453
7000000US370210054.2,5417,3415,686,39,110,6,658,1509
7000000US370210055.1,3039,2627,159,9,48,1,54,423
7000000US370210056.2,2149,1878,87,12,29,3,21,357
7000000US370210057.1,2921,2615,67,9,75,0,39,348
7000000US370210058.1,2422,2167,23,8,18,0,68,414
7000000US370210059.1,4014,3666,45,28,23,3,49,600
7000000US370210060.2,1631,1333,61,12,21,0,115,267
7000000US370210060.4,1486,1344,21,1,15,2,31,216
7000000US370210061.1,2448,2239,27,3,30,1,25,369
7000000US370210062.1,2845,2482,104,9,25,2,63,480
7000000US370210063.1,673,589,11,8,3,0,19,129
7000000US370210064.1,2271,1922,132,11,15,1,66,372
7000000US370210065.1,3333,2858,96,33,27,0,86,699
7000000US370210066.1,2057,1657,100,16,20,2,91,513
7000000US370210067.1,2505,2314,34,11,13,1,17,345
7000000US370210068.1,5903,4901,188,25,53,14,289,1299
7000000US370210069.1,3355,2910,100,21,35,1,113,525
7000000US370210070.1,3938,3249,132,27,96,7,182,735
7000000US370210071.1,4916,4197,235,17,52,1,183,693
7000000US37023000001,3728,3100,184,34,186,1,83,420
7000000US37023000003,1391,1217,37,7,52,8,26,132
7000000US37023000011,3385,2922,37,15,189,0,52,510
7000000US37023000012,2044,1933,5,5,36,0,14,153
7000000US37023000013,3258,2912,38,9,126,1,38,402
7000000US37023000014,2324,2007,14,7,127,0,60,327
7000000US37023000015,1841,1528,32,6,102,1,59,339
7000000US37023000018,560,524,4,1,5,0,5,63
7000000US37023000019,571,518,15,2,3,0,2,93
7000000US37023000020,895,754,91,3,8,0,10,87
7000000US37023000021,1712,1555,20,0,48,4,26,177
7000000US37023000022,2315,2089,56,9,84,0,20,171
7000000US37023000024,2790,2533,35,3,78,5,44,276
7000000US37023000031,2963,1703,411,192,53,4,420,540
7000000US37023000034,2360,1711,137,112,42,2,249,321
7000000US37023000035,1997,1220,220,149,17,5,299,261
7000000US37023000036,2194,1903,42,13,75,0,62,297
7000000US37023000038,2740,1967,185,130,72,2,256,384
7000000US37023000039,2589,1844,335,43,88,2,130,441
7000000US37023000040,2053,1675,136,8,56,1,71,318
7000000US37023000048,2154,1834,117,18,47,0,42,288
7000000US37023000051,3819,3106,303,8,183,1,82,408
7000000US37023000052,1745,1324,129,16,196,0,15,195
7000000US37023000053,2799,2507,32,18,119,0,23,300
7000000US37023000062,952,856,23,3,12,0,13,135
7000000US37023000064,856,786,10,7,13,0,12,84
7000000US37023000065,2272,1600,487,15,20,0,74,228
7000000US37023000066,2626,2161,242,12,42,6,64,297
7000000US37023000070,2882,2529,97,19,65,4,65,309
7000000US370230029-A,1339,1187,32,3,50,0,11,168
7000000US370230029-B,1312,1215,13,4,19,0,18,129
7000000US370230047-A,2137,1597,386,18,39,0,19,234
7000000US370230047-B,1415,1169,129,7,9,0,36,195
7000000US37025001-02,3246,2361,346,19,137,0,211,516
7000000US37025001-04,5884,3475,1299,13,692,2,95,924
7000000US37025001-07,2891,2040,309,13,331,3,41,462
7000000US37025001-08,5328,3105,1463,18,240,1,169,996
7000000US37025001-10,3168,2300,401,12,128,2,98,681
7000000US37025001-11,4871,3185,787,15,518,0,101,795
7000000US37025002-01,3969,2639,627,20,125,6,267,855
7000000US37025002-02,5292,3051,1026,32,195,4,565,1257
7000000US37025002-03,7322,4914,1486,23,186,6,302,1215
7000000US37025002-05,4912,3344,828,13,170,6,247,912
7000000US37025002-06,4664,2496,1348,32,131,1,362,882
7000000US37025002-07,3760,2877,456,11,121,0,65,690
7000000US37025002-08,8563,4789,1560,26,1373,11,237,1701
7000000US37025002-09,9237,4456,1868,16,2127,3,274,1479
7000000US37025003-00,6066,4505,636,20,400,3,144,1074
7000000US37025004-01,3476,2062,933,21,48,2,217,579
7000000US37025004-03,3353,2007,850,24,24,0,247,603
7000000US37025004-08,1961,1331,371,11,58,3,94,279
7000000US37025004-09,3849,2755,656,21,90,2,113,636
7000000US37025004-11,3931,2392,904,30,59,2,333,633
7000000US37025004-12,6324,3243,1855,56,71,6,751,1026
7000000US37025004-13,6167,4370,933,13,96,2,345,1224
7000000US37025005-00,3040,2578,186,9,32,0,76,477
7000000US37025006-00,2312,2107,36,12,12,1,69,225
7000000US37025007-00,1279,1187,7,11,14,0,7,159
7000000US37025008-00,4227,3906,129,17,7,0,47,363
7000000US37025009-00,3010,2616,123,13,27,3,77,453
7000000US37025010-00,6250,5030,562,35,77,2,211,999
7000000US37025011-01,7236,3615,1955,47,97,8,803,2133
7000000US37025011-02,3717,2943,395,26,36,1,111,615
7000000US37025012-03,2490,1692,498,9,79,2,109,303
7000000US37025012-04,3607,2275,775,22,33,3,274,675
7000000US37025012-05,2719,2141,291,8,11,0,142,378
7000000US37025012-06,1828,1095,425,13,13,1,164,351
7000000US37025012-08,2373,1177,398,30,6,2,510,750
7000000US37025012-09,3192,2123,601,12,61,2,152,723
7000000US37025012-10,1395,1093,138,5,19,0,50,270
7000000US37025012-11,2288,1386,506,12,38,2,199,435
7000000US37025012-12,2559,1625,464,18,46,2,200,612
7000000US37025012-13,5783,2074,2180,66,22,6,917,1554
7000000US3702700PR01,4168,3540,338,22,13,2,100,459
7000000US3702700PR02,1871,1730,29,4,19,1,25,189
7000000US3702700PR07,2238,2053,35,8,13,2,23,312
7000000US3702700PR08,1316,1180,53,8,4,0,9,186
7000000US3702700PR13,3439,3221,22,17,30,0,30,357
7000000US3702700PR14,3912,3465,108,25,34,0,84,588
7000000US3702700PR16,1977,1397,347,4,14,1,105,327
7000000US3702700PR17,2143,1834,116,16,20,1,58,294
7000000US3702700PR18,4281,3926,121,8,40,2,37,441
7000000US3702700PR21,3359,3103,37,16,13,0,52,414
7000000US3702700PR22,3846,3502,72,20,8,0,78,498
7000000US3702700PR24,2367,2082,37,11,14,2,90,393
7000000US3702700PR25,2211,2026,44,5,8,0,40,264
7000000US3702700PR29,3982,2978,402,25,53,2,278,732
7000000US3702700PR30,3740,2551,690,16,11,2,275,585
7000000US3702700PR31,1997,1575,249,5,3,0,72,279
7000000US3702700PR32,2872,2688,37,6,11,0,22,324
7000000US3702700PR33,6827,6177,180,22,31,1,182,702
7000000US3702700PR34,4779,4410,88,4,66,0,52,477
7000000US3702700PR35,3111,2884,35,4,7,0,50,393
7000000US370290000CH,2894,2284,399,12,30,0,30,417
7000000US370290000SH,1967,1652,137,3,46,0,21,324
7000000US370290000SM,3026,2460,335,26,22,1,29,459
7000000US3703100ABCH,1313,1250,6,4,0,0,9,132
7000000US3703100ATSL,752,705,8,3,0,0,16,60
7000000US3703100BCRK,2047,1821,55,20,7,2,37,315
7000000US3703100BFT1,1559,1239,224,6,15,1,14,180
7000000US3703100BFT2,3771,3343,239,24,15,6,29,345
7000000US3703100BOGU,3012,2721,110,12,11,8,38,336
7000000US3703100CCCP,3132,2850,26,11,38,2,29,528
7000000US3703100CISL,209,204,0,3,0,0,0,6
7000000US3703100DASW,657,625,7,5,0,1,1,54
7000000US3703100EMIS,3382,3184,9,1,22,2,25,417
7000000US3703100HAIS,1003,972,5,1,0,0,3,66
7000000US3703100IBSP,358,345,2,0,2,0,0,27
7000000US3703100MASM,645,605,4,0,1,1,1,99
7000000US3703100MCRK,520,477,3,3,2,0,15,60
7000000US3703100MERR,524,449,34,2,6,0,7,78
7000000US3703100MHD1,2603,2083,228,10,30,0,154,294
7000000US3703100MHD2,3447,2781,289,19,37,3,102,648
7000000US3703100MHD3,3453,3065,137,12,28,5,44,486
7000000US3703100MHD4,2784,2597,22,8,49,5,21,246
7000000US3703100NPT1,4279,3435,399,32,99,7,52,765
7000000US3703100NPT2,3337,2888,135,35,37,5,55,546
7000000US3703100NRIV,695,347,297,2,9,0,8,96
7000000US3703100PELE,1483,1350,17,6,17,1,24,204
7000000US3703100PKNL,1233,1192,2,2,5,0,5,81
7000000US3703100STEL,1686,1521,56,5,4,0,20,240
7000000US3703100WIHA,1954,1680,144,16,9,0,21,252
7000000US3703100WILD,4192,3475,237,21,34,10,212,609
7000000US370310OTBEG,2183,2095,0,5,0,2,11,210
7000000US370330000PH,2050,1519,418,8,1,0,38,198
7000000US3703300ANDE,1003,746,184,5,0,1,29,114
7000000US3703300LEAS,685,405,238,2,0,0,15,75
7000000US3703300LOCU,2251,1167,975,10,4,2,31,186
7000000US3703300MILT,2189,1130,952,8,6,0,20,219
7000000US3703300PELH,3344,2503,613,9,14,6,64,405
7000000US3703300STON,2548,1889,477,10,0,3,67,306
7000000US3703300YANC,3683,1718,1705,18,18,1,122,303
7000000US370330PROVI,843,624,195,0,3,0,2,57
7000000US37035000001,3775,3418,94,11,50,0,78,372
7000000US37035000002,2570,2333,57,8,43,7,54,204
7000000US37035000003,2751,2332,123,9,108,0,85,282
7000000US37035000004,1117,644,173,9,112,5,79,285
7000000US37035000005,3849,3048,345,28,92,0,132,612
7000000US37035000006,2658,2262,167,11,79,2,41,288
7000000US37035000007,3754,2449,456,33,196,1,386,699
7000000US37035000008,2850,2417,108,9,112,1,88,345
7000000US37035000009,2819,2443,119,16,24,0,80,411
7000000US37035000010,825,409,248,10,26,1,72,177
7000000US37035000011,1819,1396,241,10,24,1,64,249
7000000US37035000012,1980,751,819,28,58,2,178,432
7000000US37035000013,2311,1259,556,17,79,1,195,612
7000000US37035000014,1781,1519,77,11,34,4,36,300
7000000US37035000015,822,130,572,8,14,0,46,156
7000000US37035000016,3719,2606,473,26,127,3,280,612
7000000US37035000017,2609,1709,303,19,132,5,254,561
7000000US37035000019,1450,992,164,10,103,2,93,258
7000000US37035000020,3899,3132,281,11,81,3,161,690
7000000US37035000021,2047,1856,66,5,13,1,18,264
7000000US37035000022,4397,3334,305,30,267,0,238,669
7000000US37035000023,4358,3770,222,16,145,2,57,438
7000000US37035000024,4388,3770,175,13,183,1,73,519
7000000US37035000025,2981,1928,313,26,117,0,393,612
7000000US37035000026,1946,1698,94,5,35,1,21,276
7000000US37035000027,4655,3823,155,18,326,2,138,579
7000000US37035000028,4398,2755,281,64,191,3,807,891
7000000US37035000029,5129,4101,140,44,164,2,264,1242
7000000US37035000030,5090,3681,447,35,272,2,318,1005
7000000US37035000031,5000,4519,180,9,42,2,32,648
7000000US37035000032,3782,2603,441,18,208,1,287,672
7000000US37035000033,5510,4141,187,30,488,3,282,1137
7000000US37035000034,4781,3967,233,23,253,1,106,594
7000000US37035000035,4010,2866,325,37,255,5,316,618
7000000US37035000036,2448,2036,135,8,50,2,60,471
7000000US37035000037,3312,2330,414,15,72,0,251,690
7000000US37035000038,3026,2641,130,8,90,0,62,285
7000000US37035000039,2334,2035,68,7,82,0,28,342
7000000US37035000040,1833,1339,251,13,59,0,92,237
7000000US37035000041,3783,3493,66,10,20,3,39,456
7000000US37037000003,2038,1676,147,10,8,3,105,267
7000000US37037000006,839,750,36,3,2,3,14,93
7000000US37037000009,1654,1351,155,9,7,0,51,243
