"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"7000000US370210025.1","CHARLES C BELL SCHOOL, Buncombe County, North Carolina","2737","133","2604","2491","2238","192","3","37","1","20","113","107","17","52","11","0","25","1","1","0","0","0","0","0","0","0","0","6","0","0","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210026.1","ASHEVILLE SCHOOL ATHLETIC CENTER, Buncombe County, North Carolina","2240","226","2014","1933","1785","104","2","30","0","12","81","73","20","28","12","0","13","0","0","0","0","0","0","0","0","0","0","8","4","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210027.2","BEAVERDAM COMMUNITY CENTER, Buncombe County, North Carolina","830","9","821","803","785","6","1","8","0","3","18","17","3","5","1","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210028.1","COVENANT REFORMED PRESBYTERIAN, Buncombe County, North Carolina","3257","208","3049","2954","2597","179","14","92","6","66","95","91","25","25","30","0","11","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210029.2","NEW HOPE PRESBYTERIAN, Buncombe County, North Carolina","3465","158","3307","3202","2860","234","6","59","19","24","105","104","23","42","11","2","22","0","1","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210030.2","AVERYS CREEK ELEMENTARY SCHOOL, Buncombe County, North Carolina","3442","265","3177","3038","2790","132","8","97","7","4","139","131","20","53","18","1","35","0","1","0","2","0","0","0","1","0","0","7","2","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210030.3","AVERYS CREEK COMMUNITY CENTER, Buncombe County, North Carolina","3365","192","3173","3062","2807","96","7","141","2","9","111","101","26","35","13","2","24","0","0","0","1","0","0","0","0","0","0","10","5","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210031.1","BILTMORE FOREST TOWN HALL, Buncombe County, North Carolina","1150","32","1118","1095","1078","3","0","14","0","0","23","22","4","6","8","0","4","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210032.1","BLACK MOUNTAIN 1 - OWEN MIDDLE SCHOOL, Buncombe County, North Carolina","2811","217","2594","2508","2350","119","19","11","0","9","86","84","18","48","4","0","9","2","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210033.2","BLACK MOUNTAIN PRIMARY SCHOOL, Buncombe County, North Carolina","1402","30","1372","1339","1265","52","3","18","0","1","33","33","4","16","4","0","7","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
